SNR,Accuracy
-20.0,0.08746618575293057
-18.0,0.09243697478991597
-16.0,0.10032664489034064
-14.0,0.1112618724559023
-12.0,0.12114438980777828
-10.0,0.17387304507819687
-8.0,0.28931682714351215
-6.0,0.38260097647581004
-4.0,0.5132346343651862
-2.0,0.5965160075329566
0.0,0.6250591016548463
2.0,0.6381192275398825
4.0,0.6326626111371081
6.0,0.6433150183150184
8.0,0.6252873563218391
10.0,0.6284549161758043
12.0,0.6471951784886416
14.0,0.6163522012578616
16.0,0.6069210292812778
18.0,0.6161705908485118
