SNR,Accuracy
-20.0,0.09377817853922453
-18.0,0.08450046685340803
-16.0,0.09846010265982268
-14.0,0.10764360018091361
-12.0,0.10952168082253018
-10.0,0.18031278748850046
-8.0,0.2879413113250802
-6.0,0.3968042609853529
-4.0,0.5020188425302826
-2.0,0.6045197740112994
0.0,0.6193853427895981
2.0,0.6456759026028548
4.0,0.6551240056153487
6.0,0.6533882783882784
8.0,0.6303448275862069
10.0,0.6325328500226551
12.0,0.6583217431617988
14.0,0.6257861635220126
16.0,0.6104702750665484
18.0,0.6286095068858285
